"url","name","street_address","region","postal_code","country","telephone","lat","long"
"https://locations.traderjoes.com/al/birmingham/737/","Birmingham (737)","205 Summit Blvd, Suite 100","AL","35243","US","+1 205-969-7801","33.4465102","-86.7296304"
"https://locations.traderjoes.com/al/hoover/838/","Hoover (838)","1769 Montgomery Hwy","AL","35244","US","+1 205-202-7715","33.3792085","-86.8031540"
"https://locations.traderjoes.com/al/huntsville/785/","Huntsville (785)","1100 Mid City Dr NW","AL","35806","US","+1 256-890-7156","34.7401294","-86.6651914"
"https://locations.traderjoes.com/az/chandler/287/","Chandler (287)","3961 S Arizona Ave","AZ","85248","US","+1 520-453-3452","33.2547400","-111.8411089"
"https://locations.traderjoes.com/az/gilbert/285/","Gilbert (SanTan) (285)","1779 E. Williams Field Rd.","AZ","85295","US","+1 480-857-9878","33.3062963","-111.7517762"
"https://locations.traderjoes.com/az/glendale/85/","Glendale (85)","8078 W Bell Rd","AZ","85308","US","+1 928-397-9921","33.6401678","-112.2309965"
"https://locations.traderjoes.com/az/goodyear/289/","Goodyear (289)","N Bullard Ave & McDowell Rd","AZ","85395","US","+1 480-712-6645","33.4649741","-112.3769281"
"https://locations.traderjoes.com/az/mesa/89/","Mesa (89)","2050 E Baseline Rd","AZ","85204","US","+1 480-632-0951","33.3811026","-111.7869778"
"https://locations.traderjoes.com/az/oro-valley/96/","Oro Valley (96)","7912 N Oracle","AZ","85704","US","+1 520-797-4207","32.3505043","-110.9732578"
"https://locations.traderjoes.com/az/phoenix/177/","Ahwatukee (177)","4025 E Chandler Blvd, Ste 38","AZ","85048","US","+1 480-759-2293","33.3051298","-111.9968479"
"https://locations.traderjoes.com/az/phoenix/282/","Paradise Valley (282)","4726 East Shea Blvd","AZ","85028","US","+1 602-485-7788","33.5834090","-111.9790448"
"https://locations.traderjoes.com/az/phoenix/90/","Phoenix - Town & Country (90)","4821 N 20th St","AZ","85016","US","+1 602-912-9022","33.5070981","-112.0377882"
"https://locations.traderjoes.com/az/prescott/283/","Prescott (283)","252 N Lee Blvd","AZ","86303","US","+1 928-443-9075","34.5487019","-112.4053084"
"https://locations.traderjoes.com/az/queen-creek/286/","Queen Creek (286)","21186 S. Ellsworth Loop Rd","AZ","85142","US","+1 480-877-7213","33.2560089","-111.6400860"
"https://locations.traderjoes.com/az/scottsdale/87/","N Scottsdale (87)","7555 E Frank Lloyd Wright","AZ","85260","US","+1 480-367-8920","33.6359175","-111.9171835"
"https://locations.traderjoes.com/az/scottsdale/94/","Scottsdale (94)","6202 N Scottsdale Rd","AZ","85253","US","+1 480-948-9886","33.8030047","-111.9277792"
"https://locations.traderjoes.com/az/surprise/92/","Surprise (92)","14095 W Grand Ave","AZ","85374","US","+1 623-546-1640","33.6513591","-112.3674212"
"https://locations.traderjoes.com/az/tempe/91/","ASU (91)","940 E. University Drive","AZ","85281","US","+1 480-303-9974","33.4224913","-111.9247528"
"https://locations.traderjoes.com/az/tempe/93/","Tempe (93)","6460 S McClintock Dr","AZ","85283","US","+1 480-838-4142","33.3617517","-111.9124410"
"https://locations.traderjoes.com/az/tucson/191/","Tucson - Campbell & Limberlost (191)","4209 N Campbell Ave","AZ","85719","US","+1 520-325-0069","32.2835138","-110.9447365"
"https://locations.traderjoes.com/az/tucson/88/","Tucson - Crossroads (88)","4766 E Grant Rd","AZ","85712","US","+1 520-323-4500","32.2497995","-110.8909186"
"https://locations.traderjoes.com/az/tucson/95/","Tucson (95)","1101 N Wilmot Rd, Ste 147","AZ","85712","US","+1 520-733-1313","32.2372999","-110.8587377"
"https://locations.traderjoes.com/ar/little-rock/756/","Little Rock (756)","11500 Financial Centre Pky","AR","72211","US","+1 501-954-7659","34.7482089","-92.4016196"
"https://locations.traderjoes.com/ca/agoura-hills/247/","Agoura Hills (247)","28941 Canwood St","CA","91301","US","+1 818-865-8217","34.1464890","-118.7565773"
"https://locations.traderjoes.com/ca/alameda/109/","Alameda (109)","2217 South Shore Ctr","CA","94501","US","+1 510-769-5450","37.7577613","-122.2514016"
"https://locations.traderjoes.com/ca/aliso-viejo/195/","Aliso Viejo (195)","26541 Aliso Creek Rd","CA","92656","US","+1 949-643-5531","33.5775084","-117.7248421"
